scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2025-07-08,09:36,life,ライフ,1,よろず～ニュース,「煮立てたらダメだよ」「また昭和の話ぃ？」味噌汁論争が話題！世代によって違うの？,114,https://news.yahoo.co.jp/articles/8d98d9521127e18bd9d152397d62e1cd8ee5515c,7/8(火) 8:10
2025-07-08,09:36,life,ライフ,2,Hint-Pot,「食べたら具合が悪くなるよ！」「絶対にスペインでは手に入らない」　外国人が日本のコンビニで衝撃　母国と比較し驚いたこととは,59,https://news.yahoo.co.jp/articles/d9ed7769ea3920902b25e73d6299387817796479,7/8(火) 5:30
2025-07-08,09:36,life,ライフ,3,FORZA STYLE,「ミツコ…なんでこの漢字なの？」名前虐待の極地。親の望む「人と違う」に翻弄された少女の人生【専門家解説】,48,https://news.yahoo.co.jp/articles/991dfbdb7c3513f261d607020c9c0c93b0b21b60,7/7(月) 21:02
2025-07-08,09:36,life,ライフ,4,kufura,なんだかんだ言っても「昭和最高！」 482人が語る「昭和時代の良さ」とは,39,https://news.yahoo.co.jp/articles/3de24af0258405d1b8eef7fd28f268128417f23f,7/7(月) 22:10
2025-07-08,09:36,life,ライフ,5,まいどなニュース,通勤中に見た、電車のドア“こじ開け男”→約5分遅延で、罰金20万円の判例も　弁護士が警鐘「刑事罰や損害賠償の可能性」,39,https://news.yahoo.co.jp/articles/c6196b6e78a217c80698bc8c012e06e730c3f87c,7/8(火) 7:10
2025-07-08,09:36,life,ライフ,6,まいどなニュース,子どもから聞いてビックリ「父ちゃんは体洗う前に湯船」　妻が「ありえない」と取った行動は…巷での調査結果に衝撃,36,https://news.yahoo.co.jp/articles/470ce87c17c7d091d7cf3fac72290c1211869841,7/8(火) 7:20
2025-07-08,09:36,life,ライフ,7,THE GOLD ONLINE（ゴールドオンライン）,俺の人生、何だったんだろう…〈月収28万円〉51歳・氷河期世代の絶望。〈82歳母の介護〉で実家から出られず、暗い部屋で絶叫した「悲痛な本音」,36,https://news.yahoo.co.jp/articles/9c64ab97db1216c1272abad01cc0451ec0ae1519,7/8(火) 7:02
2025-07-08,09:36,life,ライフ,8,ENCOUNT,「御食事は20分以内で」…物議呼んだラーメン二郎・府中店が謝罪＆張り紙を撤去「ご迷惑と不快感をもたせてしまい、申し訳ありません」,31,https://news.yahoo.co.jp/articles/fc9a440194d4f788a2b61791493d217408f06440,7/7(月) 15:13
2025-07-08,09:36,life,ライフ,9,FORZA STYLE,「ディズニーより贅沢品」夏期講習の金額に動揺する45歳母。育児世帯に「お金がない」のも納得の今どき塾事情【専門家解説】,30,https://news.yahoo.co.jp/articles/a8d25da722c43e9eab97ed2c57cc07ba0b1a315c,7/8(火) 7:02
2025-07-08,09:36,life,ライフ,10,TOKYO HEADLINE WEB,東京選挙区で立候補の鈴木大地氏が「スポーツで人生が変わった。これからは政治で社会を変えたい」　応援の小池都知事は「スポーツの力で東京都も元気にしてほしい」,30,https://news.yahoo.co.jp/articles/0a32d756fa06fdeb3180d31c0c746a6d8f8a1cef,7/8(火) 0:30
2025-07-08,09:36,life,ライフ,11,まいどなニュース,「資さんうどん」で、見つけた違和感！？　西日本の方言でいう「辛い」…その意味とは,28,https://news.yahoo.co.jp/articles/5b46be3c05a16a5f085d6055f3dc07263b509bfe,7/8(火) 7:30
