scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2025-09-08,16:08,world,国際,1,産経新聞,中国、石平参院議員に「誤った言論をばらまいた」と制裁実施決定　中国国内の財産凍結など,495,https://news.yahoo.co.jp/articles/b6f6032e1abaaad1cb1709e0a55b4a3ed75977e0,9/8(月) 11:54
2025-09-08,16:08,world,国際,2,日テレNEWS NNN,トランプ大統領「知らない」“石破首相が辞任の意向を表明”記者団から問われ,179,https://news.yahoo.co.jp/articles/5846a9b27f3557dcb0e9eb39193638cfb3052e1e,9/8(月) 3:13
2025-09-08,16:08,world,国際,3,毎日新聞,習主席の「150歳まで生きられる」発言映像　中国TVが使用禁止に,65,https://news.yahoo.co.jp/articles/02fc63a71aebf9dfe11f19887f2d3bd9534f892d,9/8(月) 15:31
2025-09-08,16:08,world,国際,4,Yahoo!ニュース オリジナル THE PAGE,【ヤフコメで話題】「中国による石平議員への制裁は日本の主権侵害」「日本政府は毅然と抗議すべき」 - 帰化議員への中国制裁が波紋,58,https://news.yahoo.co.jp/articles/467b7a220db00d466cda664eecc62f7dedbfc391,9/8(月) 15:16
2025-09-08,16:08,world,国際,5,FNNプライムオンライン（フジテレビ系）,トランプ大統領「この戦争は解決できる」ウクライナ侵攻の攻勢強めるロシアに改めて不満…プーチン大統領とも近く会談か,55,https://news.yahoo.co.jp/articles/4f1314e5da63d878429fa2209142a4e3751df1d4,9/8(月) 12:48
2025-09-08,16:08,world,国際,6,CNN.co.jp,ロシア、ウクライナに最大規模の航空攻撃　初めて政府庁舎を攻撃,55,https://news.yahoo.co.jp/articles/d60316c7e490333432b25285c28e94542f7ebb9d,9/7(日) 17:04
2025-09-08,16:08,world,国際,7,中央日報日本語版,「明洞〜弘大4万5000ウォン」日本で報道されたぼったくりタクシー…「韓国の恥」,50,https://news.yahoo.co.jp/articles/ae1d4bd3379ab6aa5a39d137fea5e9f29b73c514,9/8(月) 15:23
2025-09-08,16:08,world,国際,8,日テレNEWS NNN,トランプ大統領、ロシアへの制裁強化を示唆,44,https://news.yahoo.co.jp/articles/20b80e51ff772fd5ae118cc4064d30bc6772c3c8,9/8(月) 14:32
2025-09-08,16:08,world,国際,9,共同通信,中国、石平参院議員に制裁措置　財産凍結や入国禁止,40,https://news.yahoo.co.jp/articles/005620b870c9b7379c344f6475e1a6ed6d3a486f,9/8(月) 12:09
2025-09-08,16:08,world,国際,10,TBS NEWS DIG Powered by JNN,「2度と警告することはない」トランプ大統領　ハマスに対し“最終警告”,36,https://news.yahoo.co.jp/articles/75fafc9bac88b304850a5e1d15c8a101514da486,9/8(月) 5:53
2025-09-08,16:08,world,国際,11,共同通信,中国外務省、石平参院議員に制裁措置発表,36,https://news.yahoo.co.jp/articles/188adbed9b50d52d9780b44fe6367600764389fd,9/8(月) 11:18
2025-09-08,16:08,world,国際,12,FNNプライムオンライン（フジテレビ系）,ポスト石破めぐり韓国メディアが有力候補の高市氏なら「関係悪化の可能性高い」小泉氏も「靖国神社を参拝」など一斉に影響懸念,33,https://news.yahoo.co.jp/articles/49eef5b9f342369e895fd6ccfdace52c0fe89098,9/8(月) 12:36
2025-09-08,16:08,world,国際,13,中央日報日本語版,「韓国企業去ったら責任取るのか」…工場通報した米政治家にSMS爆弾,33,https://news.yahoo.co.jp/articles/031fcee09b8f373701b5b9be3be590882db41560,9/8(月) 10:23
2025-09-08,16:08,world,国際,14,時事通信,石平参院議員に制裁　「誤った言論拡散」と非難　中国外務省,32,https://news.yahoo.co.jp/articles/85ac40a205bf56bc14d8db8c295ad0f0cd7e381a,9/8(月) 11:25
2025-09-08,16:08,world,国際,15,ハンギョレ新聞,【社説】投資を求めておきながら大規模逮捕作戦、これが同盟のすることか,27,https://news.yahoo.co.jp/articles/636410404c632409541a74b5e0dce52e9e70dd00,9/8(月) 14:48
2025-09-08,16:08,world,国際,16,CNN.co.jp,難民１００万人に門戸を開いたドイツ、１０年後にどう変わったか,26,https://news.yahoo.co.jp/articles/e2ac09312a2bffbfd79027c1fe50e9ea31d3c8ac,9/8(月) 15:32
2025-09-08,16:08,world,国際,17,ロイター,グレタさんら乗せたガザ支援船団、寄港先のチュニジアで熱烈歓迎　10日に出発へ,26,https://news.yahoo.co.jp/articles/4ec34908ecb42c1a532631a3f4b5ac024af5759f,9/8(月) 14:38
2025-09-08,16:08,world,国際,18,中央日報日本語版,「150歳まで生きる」 習近平・プーチンの私的会話…中国、削除してしまった,25,https://news.yahoo.co.jp/articles/372fd4998417e75cf30d0cf4e6f5398683835270,9/8(月) 8:48
2025-09-08,16:08,world,国際,19,TBS NEWS DIG Powered by JNN,ロシアがウクライナに最大規模攻撃　800機以上のドローン攻撃など　首都キーウの政府庁舎燃える　トランプ大統領は「制裁強化」示唆,25,https://news.yahoo.co.jp/articles/7c6bc0d9abe076e6a30d4fd977c2b469a5cbafab,9/8(月) 12:01
2025-09-08,16:08,world,国際,20,ニューズウィーク日本版,石破後継の「ダークホース」は超意外なあの政治家,24,https://news.yahoo.co.jp/articles/4e1325a84bbc5b8f609d09b865bc481c0a095f5a,9/8(月) 0:18
2025-09-08,16:08,world,国際,21,ＡＦＰ＝時事,ハマスが交渉への用意表明、トランプ氏の「最終警告」受け,24,https://news.yahoo.co.jp/articles/c715ef3b40263ce5349c2ccdb48e1d25ba97d303,9/8(月) 8:40
2025-09-08,16:08,world,国際,22,KOREA WAVE,韓国・釜山の屋台おでん1本3000ウォン…非難殺到「それならビルが建つ！」,23,https://news.yahoo.co.jp/articles/f72f6f1bca82f0d5a3bdf133cb86353eadf4a381,9/8(月) 5:21
2025-09-08,16:08,world,国際,23,Yahoo!ニュース オリジナル THE PAGE,【ヤフコメで話題】「ロシアはウクライナ全土掌握を目指して戦争継続の構え」「西側諸国は長期的な防衛体制を検討すべき」 - ロシアのウクライナ侵攻と今後の見通しに注目集まる,22,https://news.yahoo.co.jp/articles/57274f6a0691496bfa8664c6b8e110d515a624c1,9/8(月) 7:24
2025-09-08,16:08,world,国際,24,中央日報日本語版,中国団体観光客、29日から韓国に無査証で入国可能に…9カ月間の一時的措置,21,https://news.yahoo.co.jp/articles/6508b2d8b1a9bffa55e032fa3ed3612f04a146d9,9/8(月) 15:14
2025-09-08,16:08,world,国際,25,BBC News,チェコ警察、「幻のレーシングカー・ドライバー 」を逮捕　2019年から追跡,21,https://news.yahoo.co.jp/articles/23e797d7174b2aaf2ae4cf6a47fd3cf81c15b027,9/8(月) 14:36
2025-09-08,16:08,world,国際,26,ロイター,石破首相が退陣表明、米関税で区切り　複数の後任候補すでに,21,https://news.yahoo.co.jp/articles/445c98702870f24b1d8fe48007ee0ce1331a9cb6,9/7(日) 16:19
2025-09-08,16:08,world,国際,27,文春オンライン,「もしロシアがウクライナに勝ったら？」ロシア軍の“真の狙い”が明らかに…専門家が予言する“3年後のシナリオ”とは　中村逸郎が『もしロシアがウクライナに勝ったら』（カルロ・マサラ 著）を読む,21,https://news.yahoo.co.jp/articles/99333832a04dd82238e7abe751b53c5138b1cdc4,9/7(日) 17:12
2025-09-08,16:08,world,国際,28,TBS NEWS DIG Powered by JNN,石破総理の辞任表明　中国「正直残念」　これまで石破氏の政治姿勢評価し水産物輸入やビザなし渡航を再開　首脳会談調整に影響も,20,https://news.yahoo.co.jp/articles/0140e45de74ee1bf8c4a661dac6b13a8144750ae,9/8(月) 12:09
2025-09-08,16:08,world,国際,29,日テレNEWS NNN,「中国についてデマ流した」中国外務省、維新・石平参院議員の財産凍結など制裁を発表,20,https://news.yahoo.co.jp/articles/3fca376a2632a1ea12093e265cb7216c7087f0f6,9/8(月) 12:08
2025-09-08,16:08,world,国際,30,TBS NEWS DIG Powered by JNN,中国が日本維新の会・石平参院議員に制裁措置　ビザ発給停止など　石平議員「言論活動正しかったことが証明」,20,https://news.yahoo.co.jp/articles/a15ea52d932286cc2962757d124662b60e71a38e,9/8(月) 13:56
2025-09-08,16:08,world,国際,31,中央日報日本語版,写真撮影中に強風にあおられ…モンゴルの火山で韓国人インフルエンサーが転落死,19,https://news.yahoo.co.jp/articles/cbf28c6ff09e70d1099c2cd25860f79deddfb07d,9/8(月) 15:23
2025-09-08,16:08,world,国際,32,テレビ朝日系（ANN）,トランプ氏　対ロ制裁強化を示唆米財務長官　米欧連携で「ロシア経済は崩壊する」,19,https://news.yahoo.co.jp/articles/e4abbeae0e1cc77b8531b1092cd9e9a5197d8b34,9/8(月) 5:26
2025-09-08,16:08,world,国際,33,FNNプライムオンライン（フジテレビ系）,中国が石平参院議員に制裁　中国出身でその後日本国籍取得した石氏に中国外務省「長年にわたりデマを拡散、靖国神社参拝」,18,https://news.yahoo.co.jp/articles/9170316f66e0bbcd9eb6ac92596bff73ac716160,9/8(月) 15:21
2025-09-08,16:08,world,国際,34,FNNプライムオンライン（フジテレビ系）,トランプ氏は石破首相退陣表明について「知らない」　米メディア「日本の不安定な政治状況がさらに悪化」,18,https://news.yahoo.co.jp/articles/c4652bad0121fc4bd57b4828c8a0d51049b420ef,9/8(月) 6:31
2025-09-08,16:08,world,国際,35,TBS NEWS DIG Powered by JNN,石破総理が辞任表明　中国では新聞が1面で報道　北京市民の反応は…,18,https://news.yahoo.co.jp/articles/24e56968c65d10a9db9ba4750a4e62443c1f5129,9/8(月) 13:21
2025-09-08,16:08,world,国際,36,ＡＦＰ＝時事,石破首相、辞任の意向固める 報道,18,https://news.yahoo.co.jp/articles/77a74f41a7a65d543f852af30f8802aea29d3e27,9/7(日) 17:28
2025-09-08,16:08,world,国際,37,ハンギョレ新聞,「Ｋ－防衛産業の大韓民国、次は宇宙に跳躍する番」,17,https://news.yahoo.co.jp/articles/e2bde109b77b019746ee69d934a1999c951e832a,9/8(月) 14:09
2025-09-08,16:08,world,国際,38,毎日新聞,トランプ氏「欧州首脳が今週訪米」　ロシアへの制裁強化も示唆,16,https://news.yahoo.co.jp/articles/f8cbb83aa29280b6785944c7ca80ed883bb00642,9/8(月) 15:40
2025-09-08,16:08,world,国際,39,ハンギョレ新聞,現代自動車を通報した米国の極右政治家に「なんて愚かな…」米ネット民から批判殺到,15,https://news.yahoo.co.jp/articles/9365d0e294183111351cabc6f804ac11fa9cb3c3,9/8(月) 8:44
2025-09-08,16:08,world,国際,40,CNN.co.jp,対ロシア制裁、第２段階に移行の用意　トランプ氏が示唆,15,https://news.yahoo.co.jp/articles/a9079d4303e8f91f6b40b32ea06b2abf627c7230,9/8(月) 10:06
