scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2025-09-01,18:10,TTL,総合,1,静岡朝日テレビ,【速報】田久保市長の不信任決議案が全会一致で可決　10日以内に議会解散か辞職か判断　静岡・伊東市,524,https://news.yahoo.co.jp/articles/71da4c54e2674c90ab1c274fe06ed3c315597ea3,9/1(月) 11:40
2025-09-01,18:10,TTL,総合,2,TBS NEWS DIG Powered by JNN,【速報】東京・世田谷区野沢で韓国籍の40歳の女性が首切られ死亡　切り付けたのは女性の交際相手の男か　男は逃走中　警視庁,411,https://news.yahoo.co.jp/articles/cefedcaa95bf77335397b0950fdd9f64253d2a6b,9/1(月) 14:15
2025-09-01,18:10,TTL,総合,3,スポーツ報知,「２４時間テレビ」平均視聴率は１１・０％　昨年より１・５ポイント減も２ケタ維持…横山裕ゴールの終盤は１９・５％,404,https://news.yahoo.co.jp/articles/6cb4e342223b0fd2b1fe6ceff0f35897b071185c,9/1(月) 10:34
2025-09-01,18:10,TTL,総合,4,読売テレビ,【速報】「行為は悪質」西村拳被告に懲役3年の実刑　酒に酔った女性に性的暴行　東京五輪空手5位入賞,394,https://news.yahoo.co.jp/articles/aa7542818b4b425d789af13b8dfb77a5ae7ca88e,9/1(月) 15:02
2025-09-01,18:10,TTL,総合,5,FNNプライムオンライン（フジテレビ系）,【速報】維新除名の石井章参院議員が議員辞職…秘書給与の不正受給疑いで強制捜査,370,https://news.yahoo.co.jp/articles/4124faefebaf7a926b904029e11e185a06df648a,9/1(月) 17:00
2025-09-01,18:10,TTL,総合,6,SmartFLASH,「話が長い」萩本欽一『24時間テレビ』の “威圧態度” に批判殺到…番組の功労者に懸念される芸風のミスマッチ,357,https://news.yahoo.co.jp/articles/52fe587674f3970f99653c628658149b7a0aeaf3,9/1(月) 15:00
2025-09-01,18:10,TTL,総合,7,Full-Count,イチロー氏が苦言「全く敬意がない」　現代野球の“所作”に一石…女子選手は「絶対しない」,269,https://news.yahoo.co.jp/articles/a0a2cf6448bc39fc86cf0b1f8dc1675c63049ab2,9/1(月) 10:23
2025-09-01,18:10,TTL,総合,8,J-CASTニュース,DeNAバウアー、バット蹴り飛ばしに元ヘッド怒り...球団は「来季の契約を絶対にしない。したらおかしい」,214,https://news.yahoo.co.jp/articles/b6d0cb42dffd358520f032d15fbce1125e5b5af3,9/1(月) 16:42
2025-09-01,18:10,TTL,総合,9,共同通信,石井章氏が参院議員辞職　秘書給与詐取容疑で家宅捜索,213,https://news.yahoo.co.jp/articles/723218c37bc20260e849f7e9bb22954a4bd47574,9/1(月) 16:43
2025-09-01,18:10,TTL,総合,10,静岡放送（SBS）,田久保真紀市長に対する刑事告発、全会一致で可決 百条委への出頭拒否や虚偽証言など4行為で=静岡・伊東市議会9月定例会【速報】,211,https://news.yahoo.co.jp/articles/193661216c7823dfd9a811de805b1ba37f6805ad,9/1(月) 10:26
2025-09-01,18:10,TTL,総合,11,女性自身,「失礼過ぎ」上田晋也　『24時間テレビ』ランナー・横山裕にエール送った氷川きよしへの“一言”が物議,193,https://news.yahoo.co.jp/articles/da4e36992f45d01539ca38879853ef11a5ba3be3,9/1(月) 16:10
2025-09-01,18:10,TTL,総合,12,共同通信,グレタさん再びガザへ出発　44カ国活動家の大規模船団,181,https://news.yahoo.co.jp/articles/b160ee909e9d7757c465852e3f6af102e3cd294e,9/1(月) 5:51
2025-09-01,18:10,TTL,総合,13,プレジデントオンライン,小室圭・眞子夫妻だけでなく愛子さまも欠席か…9月6日悠仁さまの「成年式」をめぐる秋篠宮さまの深いお悩み,174,https://news.yahoo.co.jp/articles/3bddfd9cefaba95fa286ac182461dd29cc94977d,9/1(月) 16:16
2025-09-01,18:10,TTL,総合,14,産経新聞,地方で存在感増すユーチューバー議員、元迷惑系へずま氏は罵声浴びるも「期待裏切らない」,166,https://news.yahoo.co.jp/articles/25e3e95800aa212b55e89271e2361b867fac5d17,9/1(月) 8:11
