scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2025-04-13,12:04,domestic,国内,1,読売新聞オンライン,「生理休暇」改め「健康管理休暇」に…県職員６３％が取得希望も実際は８％で,551,https://news.yahoo.co.jp/articles/ae2cfd213aeb5d3c6806c7e287ea58185754a2db,4/13(日) 7:54
2025-04-13,12:04,domestic,国内,2,JBpress,「国民1人5万円」の愚策しか打ち出せない石破政権に与党内もウンザリ、なぜ頑なに消費税減税から目をそらすのか,524,https://news.yahoo.co.jp/articles/70cee79f2960fc1b8723e186ca532939ccc46862,4/13(日) 10:51
2025-04-13,12:04,domestic,国内,3,FNNプライムオンライン（フジテレビ系）,「2年程度の期限付き消費税減税という意見ある」自民・佐藤正久氏　「経済対策をトータルで考えるべきだ」,260,https://news.yahoo.co.jp/articles/bba608876c6216d633a48a28a9911da8752f6322,4/13(日) 10:02
2025-04-13,12:04,domestic,国内,4,弁護士JPニュース,「生活保護受給者は裁判する暇があるなら働け」が“的外れ”な指摘である理由…提訴から10年超なお未解決「いのちのとりで裁判」が問いかけるもの【行政書士解説】,258,https://news.yahoo.co.jp/articles/26abc02b62011d05c6259ce33bbf1a2c53d2b429,4/13(日) 9:00
2025-04-13,12:04,domestic,国内,5,読売新聞オンライン,被害者の戸籍付票の写し、市が加害者側に誤交付…転居費など８５万円賠償へ,220,https://news.yahoo.co.jp/articles/5682cd1cf92e1ddc5e185deed6f9a1493d8942f6,4/13(日) 10:02
2025-04-13,12:04,domestic,国内,6,朝日新聞,万博入場「No.1」は前日午前10時到着　「ドキドキ、ワクワク」,165,https://news.yahoo.co.jp/articles/5bf1c2d687777ea783951dc976c2c37400c7a97b,4/13(日) 8:32
2025-04-13,12:04,domestic,国内,7,毎日新聞,大阪・関西万博が開幕　初の「海上」開催　10月13日まで,161,https://news.yahoo.co.jp/articles/146dc66d2a46e5538ebea0cae67248e75bd25624,4/13(日) 8:44
2025-04-13,12:04,domestic,国内,8,読売新聞オンライン,大阪・関西万博きょう開幕、１５８か国・地域参加…大屋根リング内に全５７館「多様でありながらひとつ」,160,https://news.yahoo.co.jp/articles/2aca5d8d2cdff6359bf166f594304d317c8e94cc,4/13(日) 0:00
2025-04-13,12:04,domestic,国内,9,時事通信,消費減税「無責任なポピュリズム」　立民枝野氏、内閣不信任案に否定的,158,https://news.yahoo.co.jp/articles/9ea24a794521e4dfe043854f60e10f21b55eab0e,4/12(土) 17:01
2025-04-13,12:04,domestic,国内,10,TBS NEWS DIG Powered by JNN,【速報】スーパーに「刃物を持った人がいる」と110番通報　女性が刺され心肺停止の状態　刺した人物の身柄を確保　東京・清瀬市,149,https://news.yahoo.co.jp/articles/818f2b8b63a4773e0cc409b836e224d2d4c4eee7,4/13(日) 11:31
2025-04-13,12:04,domestic,国内,11,読売新聞オンライン,オンラインカジノ強制遮断、新制度を検討へ…総務省が月内に有識者会議設置,126,https://news.yahoo.co.jp/articles/2286971f61edb6a0f6816457f65c5323129f86e7,4/13(日) 5:00
2025-04-13,12:04,domestic,国内,12,時事通信,消費減税、自・立が慎重論　代替財源とセット訴え　トランプ関税,121,https://news.yahoo.co.jp/articles/23742faa234636c47ef57db624af057540200228,4/13(日) 11:23
2025-04-13,12:04,domestic,国内,13,時事通信,石破首相、万博成功へ積極発信　維新に秋波、政権運営にらみ,116,https://news.yahoo.co.jp/articles/3545d2a97fe628a264fddf0effe0361ed3bf11fe,4/13(日) 7:01
