scrp_date,scrp_time,genre_en,genre_jp,rank,media_jp,title,comment,link,date_original
2025-10-26,17:09,sports,スポーツ,1,TBS NEWS DIG Powered by JNN,山本由伸が日本人初のWS完投勝利！9回105球1失点、4回以降圧巻の完全投球　スミスらの2発で終盤勝ち越し、大谷翔平1安打,225,https://news.yahoo.co.jp/articles/97f34fb475e9fdf1d35ba758395243145598d9c8,10/26(日) 11:45
2025-10-26,17:09,sports,スポーツ,2,デイリースポーツ,山本由伸、自画自賛の圧巻投球「素晴らしかったと思います」「冷静に投げられた」２戦連続の１失点完投　四回以降は完全投球で敵地沈黙,162,https://news.yahoo.co.jp/articles/bbd51dcaab0a0f616e2e35db5e9d77ff60008373,10/26(日) 11:56
2025-10-26,17:09,sports,スポーツ,3,日刊スポーツ,【菊花賞】ルメール騎手が史上初の３連覇！青葉賞馬エネルジコでレジェンド武豊騎手に並ぶ５勝目,161,https://news.yahoo.co.jp/articles/604e7640911c7a00f919697f933e4eaefced1713,10/26(日) 15:45
2025-10-26,17:09,sports,スポーツ,4,ENCOUNT,BD戦士、兄が「警察とのカーチェイスで亡くなった」と告白　7年前に後悔「信じられない出来事」,83,https://news.yahoo.co.jp/articles/db004c881a087f97562f5b1e29b5eb979e7f5427,10/26(日) 14:35
2025-10-26,17:09,sports,スポーツ,5,日刊スポーツ,山本由伸、２戦連続完投で24年ぶり快挙！ＷＳの大舞台でチーム救う快投　シリーズ１勝１敗のタイ,75,https://news.yahoo.co.jp/articles/ce8d69695bcedba5d06f904d406c327467f7d67d,10/26(日) 11:45
2025-10-26,17:09,sports,スポーツ,6,デイリースポーツ,大波乱　亀田京之介が元世界３階級王者カシメロに判定３－０完勝　「想定内」と胸張る　亀田３兄弟のいとこが大物喰いに成功「大毅みてるか？勝ったぞ」,63,https://news.yahoo.co.jp/articles/c2cad3621c68ee114b4cf41e2267516648c52e48,10/25(土) 21:59
2025-10-26,17:09,sports,スポーツ,7,TBS NEWS DIG Powered by JNN,【阪神】日本S初戦に逆転勝利！佐藤輝が決勝タイムリー、中野の絶妙バントで好機拡大 村上7回1失点好投、石井8回2死から好救援,61,https://news.yahoo.co.jp/articles/5831e3f0fdc87dfc783eff4027268878facd92a9,10/25(土) 21:49
2025-10-26,17:09,sports,スポーツ,8,スポーツ報知,３オーバーで終戦　渋野日向子「頭を抱えちゃうぐらいボロボロ」「非常に毎日疲れています」,59,https://news.yahoo.co.jp/articles/b26394ba8dd367ed5406dc80908e7b6a75466ad4,10/26(日) 13:48
2025-10-26,17:09,sports,スポーツ,9,馬トク報知,【菊花賞】エネルジコが１番人気に応えラスト１冠奪取！　ルメール騎手はレース史上初の３連覇＆歴代最多タイ５勝目,56,https://news.yahoo.co.jp/articles/1185652f938a9d6a60ed19b5ec24a11d45927673,10/26(日) 15:51
2025-10-26,17:09,sports,スポーツ,10,THE DIGEST,「ドジャース打線打てないなー」６回までわずか２安打　先発・山本由伸は１失点の粘投「勝てんぞ」「ブルージェイズ打線良すぎる」,54,https://news.yahoo.co.jp/articles/7a254b78bc1efb55096bb38a32891c24232f9494,10/26(日) 10:35
2025-10-26,17:09,sports,スポーツ,11,中日スポーツ,元NHKアナ、初の女性総理・高市首相をめぐり議論再燃が必至の大相撲の女人禁制に言及「決断をする時は来ている」,54,https://news.yahoo.co.jp/articles/4e5582d5617ab48171fb5aabe0544b78f6ec047c,10/26(日) 14:22
2025-10-26,17:09,sports,スポーツ,12,東スポWEB,【大相撲】高市首相は土俵に上がれる？　元NHKアナが〝女人禁制〟に言及「考えなければ」,52,https://news.yahoo.co.jp/articles/319c724886955df6575dd86ef610ccffe27e7ce3,10/26(日) 6:15
2025-10-26,17:09,sports,スポーツ,13,スポーツ報知,ドジャーズ山本由伸、１２年４６０億円契約「安すぎたかも」米記者、２連続完投勝利で称賛,49,https://news.yahoo.co.jp/articles/b788bf3f01effda457ca1aaa2682fd6ac20551b9,10/26(日) 12:41
2025-10-26,17:09,sports,スポーツ,14,THE DIGEST,「いくらなんでもバケモノすぎんか」山本由伸の歴史的好調ぶりにネット脱帽「日本史上最高の先発投手説」「昨日バカスカ打たれまくった打線に...」,46,https://news.yahoo.co.jp/articles/52fbe630f4d729aec4eba28b8f690d3e554fcc99,10/26(日) 16:13
2025-10-26,17:09,sports,スポーツ,15,スポーツ報知,「俺が同じ立場だったら絶対にしない」…ソフトバンクがドラ１で佐々木麟太郎を指名…「サンモニ」落合博満氏が断言,45,https://news.yahoo.co.jp/articles/d18e4d07adec2c36db724cdfa8d7fd72a0b15a3c,10/26(日) 10:10
2025-10-26,17:09,sports,スポーツ,16,デイリースポーツ,４回以降は完全投球…圧巻２戦連続完投の山本由伸、ブルージェイズファンも脱帽「帽子を脱ぐしかない」「簡単に敗北受け入れられる」米でも絶賛の嵐「なんて野獣だ！」,45,https://news.yahoo.co.jp/articles/cd097544f54294eaedd7f660a7e1e17c20afa3c4,10/26(日) 11:48
2025-10-26,17:09,sports,スポーツ,17,西スポWEB OTTO！,まるで甲子園球場？　ソフトバンク本拠地開催でほぼ半分が阪神ファン【日本シリーズ】,44,https://news.yahoo.co.jp/articles/74d8d7aead858d32a2692962b9fa165cb6008eef,10/25(土) 21:42
2025-10-26,17:09,sports,スポーツ,18,Full-Count,山本由伸に絶賛の嵐「3億2500万ドルの理由だ」　驚愕の2戦連続完投「割引価格で手にいれた」,44,https://news.yahoo.co.jp/articles/9e692b23c11b3c234d401decdd46fe6f574ef3fe,10/26(日) 11:54
2025-10-26,17:09,sports,スポーツ,19,スポニチアネックス,今江敏晃氏　ロッテ入団1年目にショート守備を断念した理由「絶対無理だなと思った」,43,https://news.yahoo.co.jp/articles/6ee20f988e923326f443e31b13e9be8e5a6d9965,10/26(日) 16:13
2025-10-26,17:09,sports,スポーツ,20,デイリースポーツ,快投の山本由伸　試合後ゴミを片付ける姿に米ファン反響「アメリカ人が学ぶべき日本の慣習」「文字通りトロントを綺麗にした」,43,https://news.yahoo.co.jp/articles/b0e01df0ecaa9b07e5d2888ee57f6e0bf45b9e49,10/26(日) 15:17
2025-10-26,17:09,sports,スポーツ,21,日刊スポーツ,【マリーゴールド】クマに襲われ岩手県内で死去した笹崎勝巳さんへ追悼の10カウントゴング,43,https://news.yahoo.co.jp/articles/8f12a0cef525508f16b9929b4ac8bae685edc89a,10/26(日) 15:01
2025-10-26,17:09,sports,スポーツ,22,スポーツ報知,【全日本大学女子駅伝】城西大が２５年ぶりＶ！　最終６区の金子陽向主将　残り約１キロで首位奪還,41,https://news.yahoo.co.jp/articles/bc29c1bace73ecbaafac3ca58a394e1f549627a1,10/26(日) 14:18
2025-10-26,17:09,sports,スポーツ,23,デイリースポーツ,「フォームにトリックがある」敵将が脱帽した山本由伸の凄さ「あれはだましですね」かつてカーショーも大絶賛,40,https://news.yahoo.co.jp/articles/2c59d962a8019b06b9250c1380f146aaf6867d50,10/26(日) 13:47
2025-10-26,17:09,sports,スポーツ,24,スポニチアネックス,谷繁元信氏「いいキャッチャーが増えてきた」　まだ中心ではないけれど…素材光る若手を実名告白,40,https://news.yahoo.co.jp/articles/aff031e36c41cdd3bea63871343eedb58478624a,10/26(日) 15:30
2025-10-26,17:09,sports,スポーツ,25,スポーツ報知,【巨人】橋上コーチ、２９日開始の秋季キャンプは「春の予行演習」　阿部監督は「地獄の秋」を予告済み,39,https://news.yahoo.co.jp/articles/39231bdba5f0b8bb7cc4d6adc24ead1166a72ec2,10/26(日) 15:02
2025-10-26,17:09,sports,スポーツ,26,RONSPO,「本当にギリギリだった。僅差で（Q3進出は）逃したが良い兆候」角田裕毅が予選で来季シート争い“ライバル”ハジャーの9番手に僅差で遅れる11番手に終わるも強気だった理由とは？,38,https://news.yahoo.co.jp/articles/e5062aea76e8b58ad3d80d41dcf24c040342219c,10/26(日) 12:18
2025-10-26,17:09,sports,スポーツ,27,THE ANSWER,「463億円は安すぎる」　山本由伸、至高の105球完投に米記者絶賛の嵐「歴史的で圧倒的」「なんてパフォーマンス」,38,https://news.yahoo.co.jp/articles/176c9a97057bc2a292641c0760abe5e48a00e9ab,10/26(日) 12:08
2025-10-26,17:09,sports,スポーツ,28,日刊スポーツ,【菊花賞】武豊騎手は史上最多記録更新の６勝目ならず！マイユニバースは１３着に敗れる,37,https://news.yahoo.co.jp/articles/5afb6b3f71b77f507549b91b16d0a0c2adc436a6,10/26(日) 15:45
2025-10-26,17:09,sports,スポーツ,29,スポニチアネックス,【菊花賞】マイユニバース13着に沈む…武豊「スタートが遅くて切り替えた」「4角を回って手応えが…」,36,https://news.yahoo.co.jp/articles/218a5e66263b313c9e1f22306c2452d79140084c,10/26(日) 16:32
2025-10-26,17:09,sports,スポーツ,30,TBS NEWS DIG Powered by JNN,【広島・フェニックスⅬ】阪神に11安打9得点で勝利！内田が適時三塁打＆猛打賞 矢野4打数無安打 先発・斉藤5回4失点 辻は4回無失点,36,https://news.yahoo.co.jp/articles/9c2a52eb21bf6e84590291d6e57506adf266098e,10/26(日) 16:08
2025-10-26,17:09,sports,スポーツ,31,Number Web,実は「12球団、指名はOKだった」…ドラフト佐々木麟太郎“1巡目競合指名”はなぜ起きた？ 現場でわかったソフトバンク・DeNAの「思惑」とは,36,https://news.yahoo.co.jp/articles/761ef72b65145e8d357e55ca3c719283a689ecf1,10/26(日) 11:05
2025-10-26,17:09,sports,スポーツ,32,日刊スポーツ,山本由伸、24年ぶり快挙まであとアウト３つ　リード広げた８回は圧巻の３者連続三振で敵地は沈黙,35,https://news.yahoo.co.jp/articles/1a701091b9238fc5ec876022ba3d08ef0f0ce632,10/26(日) 11:41
2025-10-26,17:09,sports,スポーツ,33,スポーツ報知,山本由伸、ＷＳでも完投勝利　ＰＳで日本人初の快挙から２試合連続で２４年ぶり偉業の“由伸無双”　ド軍１勝１敗,34,https://news.yahoo.co.jp/articles/a23e83f3f87a12c4b7c5a4cc6d793074cdb98b2b,10/26(日) 11:45
2025-10-26,17:09,sports,スポーツ,34,東スポWEB,亀田興毅氏がカシメロ撃破の京之介に期待「亀田三兄弟の従兄弟なのでいつも比べられる」,34,https://news.yahoo.co.jp/articles/e28a2654d16f36dc81c8d2a3c582b035d57beac2,10/26(日) 15:45
2025-10-26,17:09,sports,スポーツ,35,日刊スポーツ,落合博満氏、阪神ドラフト1位の立石正広の打撃を絶賛「プロで数字残す」「あとは、どこで使うか」,34,https://news.yahoo.co.jp/articles/171e823db5825c1c6ef7d53273a6402d1611b6df,10/26(日) 9:56
2025-10-26,17:09,sports,スポーツ,36,CoCoKARAnext,「坂本の配球には疑問があったけど…」阪神先勝も名伯楽ズバリ「全力で投げないといけないボールばかり」【日本シリーズ】,33,https://news.yahoo.co.jp/articles/2c80b93d4d98f6278d610b77eb13353aebd235f4,10/26(日) 16:30
